Month,LocationName,Book,PeakOffPeak,TotalVolume,TotalTradeValue,ForecastCost,ForecastPnL
2025-01-01,France,Asset Backed,OffPeak,-32438.75,1555801.1739,1106485.7625,449315.4114000001
2025-01-01,France,Asset Backed,Peak,-33519.48,1631421.1061,2089269.1883999999,-457848.0822999999
2025-01-01,Germany,Asset Backed,OffPeak,49348.6,-2561573.8698,-1683280.746,-878293.1238
2025-01-01,Germany,Asset Backed,Peak,52927.7,-2762509.6797,-3298983.5409999997,536473.8612999995
2025-01-01,Spain,Asset Backed,OffPeak,21525.34,-926883.312,-734229.3474,-192653.96460000006
2025-01-01,Spain,Asset Backed,Peak,25970.45,-1152063.4408,-1618738.1485,466674.7076999999
2025-01-01,Switzerland,Asset Backed,OffPeak,8644.55,-34002.328,-294865.6005,260863.2725
2025-01-01,Switzerland,Asset Backed,Peak,7739.83,-31298.4299,-482423.6039,451125.174
2025-01-01,United Kingdom,Asset Backed,OffPeak,4695.65,-301245.1246,-160168.62149999998,-141076.5031
2025-01-01,United Kingdom,Asset Backed,Peak,-8606.38,411950.6948,536435.6654,-124484.97060000006
2025-01-02,France,Asset Backed,OffPeak,-27507.22,1269973.3595,938271.2742,331702.08530000004
2025-01-02,France,Asset Backed,Peak,-37179.4,1810384.0218,2317392.002,-507007.9801999999
2025-01-02,Germany,Asset Backed,OffPeak,55910.48,-2942153.4926,-1907106.4727999999,-1035047.0198000001
2025-01-02,Germany,Asset Backed,Peak,54733.81,-2898534.5742,-3411558.3773,513023.80309999967
2025-01-02,Spain,Asset Backed,OffPeak,41397.97,-1893642.5904,-1412084.7567,-481557.8337000001
2025-01-02,Spain,Asset Backed,Peak,35590.46,-1546800.0998,-2218353.3718,671553.2719999999
2025-01-02,Switzerland,Asset Backed,OffPeak,3859.75,204179.9551,-131656.07249999998,335836.0276
2025-01-02,Switzerland,Asset Backed,Peak,9828.19,-95812.6095,-612591.0827,516778.4732
2025-01-02,United Kingdom,Asset Backed,OffPeak,-17354.48,835231.7171,591961.3128000001,243270.40429999994
2025-01-02,United Kingdom,Asset Backed,Peak,-7568.66,336290.7296,471754.5778,-135463.8482
2025-01-03,France,Asset Backed,OffPeak,-27120.66,1334975.0625,925085.7126,409889.34990000003
2025-01-03,France,Asset Backed,Peak,-24058.9,1127716.5279,1499591.237,-371874.70909999986
