Month,LocationName,Book,PeakOffPeak,TotalVolume,TotalTradeValue,ForecastCost,ForecastPnL
2025-01-01,France,Origination,OffPeak,-19650.51,706095.8296,670278.8961,35816.93350000004
2025-01-01,France,Origination,Peak,-30237.34,1266505.8413,1884693.4022,-618187.5608999999
2025-01-01,Germany,Origination,OffPeak,26602.4,-1333652.0204,-907407.8640000001,-426244.1564
2025-01-01,Germany,Origination,Peak,24160.48,-1191461.3872,-1505922.7184,314461.3311999999
2025-01-01,Spain,Origination,OffPeak,-32266.71,1616299.9161,1100617.4781,515682.4380000001
2025-01-01,Spain,Origination,Peak,-34714.5,1742740.2964,2163754.785,-421014.48860000004
2025-01-01,Switzerland,Origination,OffPeak,5268.53,-59366.8038,-179709.5583,120342.75450000001
2025-01-01,Switzerland,Origination,Peak,9221.99,-239648.8103,-574806.6366999999,335157.8263999999
2025-01-01,United Kingdom,Origination,OffPeak,-17916.9,824523.0764,611145.4589999999,213377.6174000001
2025-01-01,United Kingdom,Origination,Peak,-14788.43,610033.9635,921762.8419,-311728.87840000005
2025-01-02,France,Origination,OffPeak,-21711.62,767540.0595,740583.3582,26956.701299999957
2025-01-02,France,Origination,Peak,-27846.45,1141952.6311,1735669.2285,-593716.5973999999
2025-01-02,Germany,Origination,OffPeak,21295.16,-1040231.0198,-726377.9076,-313853.1122
2025-01-02,Germany,Origination,Peak,28396.05,-1398203.2271,-1769925.7965,371722.5693999999
2025-01-02,Spain,Origination,OffPeak,-28915.01,1429838.1722,986290.9911,443547.1810999999
2025-01-02,Spain,Origination,Peak,-21520.04,1069446.7127,1341344.0932,-271897.38049999997
2025-01-02,Switzerland,Origination,OffPeak,14720.89,-515756.9471,-502129.5579,-13627.389199999976
2025-01-02,Switzerland,Origination,Peak,4221.27,13408.3888,-263111.7591,276520.14790000004
2025-01-02,United Kingdom,Origination,OffPeak,-23698.76,1071727.4964,808364.7036,263362.79280000005
2025-01-02,United Kingdom,Origination,Peak,-18477.86,825713.7856,1151725.0137999998,-326011.2281999999
2025-01-03,France,Origination,OffPeak,-20914.3,766270.3115,713386.7729999999,52883.538500000024
2025-01-03,France,Origination,Peak,-28283.64,1195579.611,1762919.2811999999,-567339.6701999998
2025-01-03,Germany,Origination,OffPeak,24289.26,-1195249.159,-828506.6586,-366742.5004
2025-01-03,Germany,Origination,Peak,23909.77,-1208143.0559,-1490295.9641,282152.90819999995
2025-01-03,Spain,Origination,OffPeak,-29190.63,1450760.8438,995692.3893,455068.4544999999
2025-01-03,Spain,Origination,Peak,-25491.66,1264447.074,1588895.1678,-324448.0937999999
2025-01-03,Switzerland,Origination,OffPeak,7659.08,-174209.4658,-261251.21880000003,87041.75300000003
2025-01-03,Switzerland,Origination,Peak,2639.42,68762.2159,-164515.04860000004,233277.26450000005
2025-01-03,United Kingdom,Origination,OffPeak,-14337.77,622941.7668,489061.3347,133880.43209999998
2025-01-03,United Kingdom,Origination,Peak,-14674.28,621353.8828,914647.8724,-293293.9896
2025-01-04,France,Origination,OffPeak,-16093.96,477497.234,548964.9756,-71467.74160000001
2025-01-04,France,Origination,Peak,-23070.05,925675.9423,1437956.2164999999,-512280.27419999987
2025-01-04,Germany,Origination,OffPeak,26982.39,-1347921.7187,-920369.3229,-427552.39580000006
2025-01-04,Germany,Origination,Peak,29090.7,-1457094.035,-1813223.331,356129.2960000001
2025-01-04,Spain,Origination,OffPeak,-29624.78,1480782.8154,1010501.2458,470281.56959999993
2025-01-04,Spain,Origination,Peak,-31684.57,1551325.0951,1974899.2481,-423574.15299999993
2025-01-04,Switzerland,Origination,OffPeak,15886.78,-534626.3233,-541898.0658,7271.742499999935
2025-01-04,Switzerland,Origination,Peak,26081.91,-1052287.4182,-1625685.4503,573398.0321
2025-01-04,United Kingdom,Origination,OffPeak,-16681.28,709714.8734,568998.4608,140716.41260000004
2025-01-04,United Kingdom,Origination,Peak,-17057.95,725598.4041,1063222.0235,-337623.61939999985
2025-01-05,France,Origination,OffPeak,-22688.18,787771.2627,773893.8197999999,13877.442900000024
2025-01-05,France,Origination,Peak,-21538.22,803936.6227,1342477.2526,-538540.6299
2025-01-05,Germany,Origination,OffPeak,22608.96,-1122578.8993,-771191.6256,-351387.2736999999
2025-01-05,Germany,Origination,Peak,29210.02,-1452188.0945,-1820660.5466,368472.4521000001
2025-01-05,Spain,Origination,OffPeak,-26530.91,1283014.8956,904969.3400999999,378045.5555
2025-01-05,Spain,Origination,Peak,-30497.36,1523144.6169,1900900.4488,-377755.8318999999
2025-01-05,Switzerland,Origination,OffPeak,8094.04,-206798.632,-276087.7044,69289.07239999998
2025-01-05,Switzerland,Origination,Peak,-1586.04,273353.8852,98857.87320000007,174496.01199999993
2025-01-05,United Kingdom,Origination,OffPeak,-26980.23,1251978.3578,920295.6453,331682.71250000014
2025-01-05,United Kingdom,Origination,Peak,-16520.24,694263.7748,1029706.5592,-335442.7844
2025-01-06,France,Origination,OffPeak,-27443.2,1120899.3241,936087.552,184811.77210000006
2025-01-06,France,Origination,Peak,-31215.07,1312753.8046,1945635.3131,-632881.5085
2025-01-06,Germany,Origination,OffPeak,28472.96,-1444075.1473,-971212.6656,-472862.4817000001
2025-01-06,Germany,Origination,Peak,27726.39,-1390176.5649,-1728185.8887,338009.3237999999
