Month,LocationName,Book,PeakOffPeak,TotalVolume,TotalTradeValue,ForecastCost,ForecastPnL
2025-01-01,France,Spec,OffPeak,7646.01,-488778.2007,-260805.40109999996,-227972.79960000003
2025-01-01,France,Spec,Peak,3871.71,-289444.291,-241323.6843,-48120.60670000003
2025-01-01,Germany,Spec,OffPeak,20062.03,-920069.0973,-684315.8433,-235753.25400000007
2025-01-01,Germany,Spec,Peak,15399.31,-726733.1042,-959838.9923,233105.8881000001
2025-01-01,Spain,Spec,OffPeak,8476.62,-280587.6744,-289137.5081999999,8549.833799999906
2025-01-01,Spain,Spec,Peak,4251.7,-85465.7737,-265008.461,179542.6873
2025-01-01,Switzerland,Spec,OffPeak,-63319.55,2896340.9529,2159829.8505,736511.1023999997
2025-01-01,Switzerland,Spec,Peak,-66617.69,3109472.9068,4152280.6177,-1042807.7108999998
2025-01-01,United Kingdom,Spec,OffPeak,-25318.84,1285850.5368,863625.6324,422224.9043999999
2025-01-01,United Kingdom,Spec,Peak,-18370.67,958544.3582,1145043.8610999999,-186499.50289999985
2025-01-02,France,Spec,OffPeak,6752.19,-450160.1581,-230317.20089999997,-219842.95720000003
2025-01-02,France,Spec,Peak,8372.29,-533554.5269,-521844.83569999994,-11709.691200000118
2025-01-02,Germany,Spec,OffPeak,10475.67,-486886.8693,-357325.1037,-129561.76560000004
2025-01-02,Germany,Spec,Peak,15188.49,-704025.9585,-946698.5817,242672.62320000003
2025-01-02,Spain,Spec,OffPeak,12385.12,-498991.5214,-422456.4432,-76535.07820000005
2025-01-02,Spain,Spec,Peak,10902.31,-422297.2756,-679540.9823,257243.70670000004
2025-01-02,Switzerland,Spec,OffPeak,-61465.0,2819780.6925,2096571.15,723209.5425
2025-01-02,Switzerland,Spec,Peak,-60459.56,2817599.8208,3768444.3748,-950844.554
2025-01-02,United Kingdom,Spec,OffPeak,-16965.08,883292.4462,578678.8788000001,304613.56739999994
2025-01-02,United Kingdom,Spec,Peak,-13942.89,723487.1641,869060.3337,-145573.1695999999
2025-01-03,France,Spec,OffPeak,4255.61,-319259.4112,-145158.85710000002,-174100.55409999995
2025-01-03,France,Spec,Peak,986.83,-169247.3939,-61509.113899999975,-107738.28000000003
2025-01-03,Germany,Spec,OffPeak,20964.47,-940206.1826,-715098.0717,-225108.11089999997
2025-01-03,Germany,Spec,Peak,18526.24,-877757.6248,-1154740.5392,276982.9144
2025-01-03,Spain,Spec,OffPeak,4405.41,-104177.17,-150268.5351,46091.36510000001
2025-01-03,Spain,Spec,Peak,8557.31,-308509.8124,-533377.1323,224867.31990000006
2025-01-03,Switzerland,Spec,OffPeak,-54750.4,2455117.9789,1867536.1439999999,587581.8349000001
2025-01-03,Switzerland,Spec,Peak,-56055.46,2531972.3812,3493936.8218,-961964.4405999999
2025-01-03,United Kingdom,Spec,OffPeak,-24935.19,1275398.2276,850539.3309000001,424858.89670000004
2025-01-03,United Kingdom,Spec,Peak,-14560.13,743419.8605,907532.9029,-164113.04240000003
2025-01-04,France,Spec,OffPeak,2549.98,-263745.8912,-86979.81780000002,-176766.0734
2025-01-04,France,Spec,Peak,7897.27,-510724.7621,-492236.8390999999,-18487.923000000068
2025-01-04,Germany,Spec,OffPeak,24308.38,-1159003.9732,-829158.8417999999,-329845.13139999995
2025-01-04,Germany,Spec,Peak,12240.19,-559255.0752,-762931.0427,203675.96750000003
2025-01-04,Spain,Spec,OffPeak,1991.36,21609.9868,-67925.2896,89535.2764
2025-01-04,Spain,Spec,Peak,8774.96,-303704.7895,-546943.2568,243238.46729999996
2025-01-04,Switzerland,Spec,OffPeak,-59358.36,2731054.556,2024713.6596,706340.8964
2025-01-04,Switzerland,Spec,Peak,-57642.76,2657384.6418,3592873.2308,-935488.5890000002
2025-01-04,United Kingdom,Spec,OffPeak,-12444.13,651528.148,424469.27429999993,227058.8737000001
2025-01-04,United Kingdom,Spec,Peak,-13969.52,770048.1218,870720.1816,-100672.05980000005
2025-01-05,France,Spec,OffPeak,1885.61,-229017.621,-64318.15710000001,-164699.4639
2025-01-05,France,Spec,Peak,5232.97,-387252.9443,-326171.02009999997,-61081.92420000001
2025-01-05,Germany,Spec,OffPeak,14084.27,-621591.6073,-480414.4497,-141177.15760000004
2025-01-05,Germany,Spec,Peak,14799.46,-661581.2816,-922450.3417999999,260869.06019999995
2025-01-05,Spain,Spec,OffPeak,2171.28,32523.8028,-74062.3608,106586.1636
2025-01-05,Spain,Spec,Peak,5501.7,-138347.3992,-342920.96099999995,204573.56179999994
2025-01-05,Switzerland,Spec,OffPeak,-56790.39,2581772.3658,1937120.2029,644652.1628999999
2025-01-05,Switzerland,Spec,Peak,-67992.29,3126062.8066,4237959.4357,-1111896.6291000005
2025-01-05,United Kingdom,Spec,OffPeak,-21663.59,1087303.3928,738945.0549,348358.33790000004
2025-01-05,United Kingdom,Spec,Peak,-20173.9,1022273.3355,1257439.187,-235165.85149999987
2025-01-06,France,Spec,OffPeak,3021.9,-305706.7271,-103077.00900000002,-202629.7181
2025-01-06,France,Spec,Peak,5981.3,-423784.0734,-372814.429,-50969.64439999999
2025-01-06,Germany,Spec,OffPeak,5456.22,-191098.598,-186111.6642,-4986.933799999999
2025-01-06,Germany,Spec,Peak,15655.95,-663403.4088,-975835.3635,312431.9547
2025-01-06,Spain,Spec,OffPeak,7839.16,-286963.0655,-267393.7476,-19569.317900000024
2025-01-06,Spain,Spec,Peak,14172.28,-607786.4901,-883358.2124,275571.7222999999
2025-01-06,Switzerland,Spec,OffPeak,-54403.52,2519139.1946,1855704.0672,663435.1274000001
2025-01-06,Switzerland,Spec,Peak,-44423.55,1984338.8687,2768919.8715,-784581.0027999999
2025-01-06,United Kingdom,Spec,OffPeak,-11689.65,605822.9103,398733.9615,207088.9488
2025-01-06,United Kingdom,Spec,Peak,-6821.9,363253.9216,425209.027,-61955.1054
2025-01-07,France,Spec,OffPeak,3412.18,-290796.2834,-116389.45980000001,-174406.8236
2025-01-07,France,Spec,Peak,7830.36,-511216.2928,-488066.3388,-23149.95399999997
2025-01-07,Germany,Spec,OffPeak,8506.83,-317271.6605,-290167.9713,-27103.689200000023
2025-01-07,Germany,Spec,Peak,8101.77,-265623.035,-504983.3241,239360.28910000005
2025-01-07,Spain,Spec,OffPeak,8093.56,-293089.759,-276071.33160000003,-17018.427399999986
2025-01-07,Spain,Spec,Peak,10149.25,-383907.9575,-632602.7525,248694.79499999993
2025-01-07,Switzerland,Spec,OffPeak,-52293.88,2444774.1212,1783744.2467999998,661029.8744000001
2025-01-07,Switzerland,Spec,Peak,-55756.28,2593485.071,3475288.9324,-881803.8613999998
2025-01-07,United Kingdom,Spec,OffPeak,-11233.78,545610.4594,383184.23579999997,162426.22360000008
2025-01-07,United Kingdom,Spec,Peak,-15263.56,779260.4154,951377.6947999999,-172117.27939999988
2025-01-08,France,Spec,OffPeak,7130.74,-478143.3009,-243229.5414,-234913.7595
2025-01-08,France,Spec,Peak,2104.67,-222015.1304,-131184.08109999998,-90831.04930000001
2025-01-08,Germany,Spec,OffPeak,11237.57,-422765.3054,-383313.5127,-39451.79269999999
2025-01-08,Germany,Spec,Peak,10772.23,-428721.6006,-671433.0959,242711.49529999995
2025-01-08,Spain,Spec,OffPeak,10729.22,-419535.5237,-365973.6942,-53561.82949999999
2025-01-08,Spain,Spec,Peak,14280.82,-608091.7948,-890123.5106,282031.7158
2025-01-08,Switzerland,Spec,OffPeak,-62620.0,2926644.9122,2135968.2,790676.7122
2025-01-08,Switzerland,Spec,Peak,-60865.44,2827668.6392,3793742.8751999997,-966074.2359999996
2025-01-08,United Kingdom,Spec,OffPeak,-17157.64,787639.711,585247.1004,202392.6106
2025-01-08,United Kingdom,Spec,Peak,-17387.68,812472.4477,1083774.0943999998,-271301.6466999998
2025-01-09,France,Spec,OffPeak,283.9,-162295.5691,-9683.828999999987,-152611.7401
2025-01-09,France,Spec,Peak,4949.96,-379119.133,-308531.00680000003,-70588.12619999994
2025-01-09,Germany,Spec,OffPeak,12190.07,-471204.5765,-415803.2877,-55401.28880000004
2025-01-09,Germany,Spec,Peak,5505.86,-167261.7389,-343180.2538,175918.5149
2025-01-09,Spain,Spec,OffPeak,14957.95,-655072.4435,-510215.67449999996,-144856.7690000001
2025-01-09,Spain,Spec,Peak,11046.46,-414114.3116,-688525.8518,274411.54019999993
2025-01-09,Switzerland,Spec,OffPeak,-58827.68,2763011.8272,2006612.1648,756399.6624000003
2025-01-09,Switzerland,Spec,Peak,-51664.86,2444606.6233,3220270.7238,-775664.1004999997
2025-01-09,United Kingdom,Spec,OffPeak,-14218.93,721879.5082,485007.70229999995,236871.8059000001
2025-01-09,United Kingdom,Spec,Peak,-11155.45,603120.3367,695319.1985,-92198.86180000007
2025-01-10,France,Spec,OffPeak,4231.88,-309937.9242,-144349.42680000002,-165588.4974
2025-01-10,France,Spec,Peak,-115.02,-94930.2947,7169.196599999996,-102099.4913
2025-01-10,Germany,Spec,OffPeak,19502.66,-815036.8904,-665235.7326,-149801.15780000004
2025-01-10,Germany,Spec,Peak,10411.01,-380114.5788,-648918.2533,268803.67449999996
2025-01-10,Spain,Spec,OffPeak,7214.23,-230970.4978,-246077.38529999997,15106.887499999953
2025-01-10,Spain,Spec,Peak,5985.72,-197001.226,-373089.9276,176088.7016
2025-01-10,Switzerland,Spec,OffPeak,-59095.95,2738204.8922,2015762.8545,722442.0377000002
2025-01-10,Switzerland,Spec,Peak,-56621.97,2640756.7844,3529247.3901,-888490.6057000002
2025-01-10,United Kingdom,Spec,OffPeak,-10255.27,549964.3117,349807.2597,200157.05199999997
2025-01-10,United Kingdom,Spec,Peak,-13622.36,726296.586,849081.6988,-122785.1128
2025-01-11,France,Spec,OffPeak,3634.42,-305937.019,-123970.06619999999,-181966.95279999997
2025-01-11,France,Spec,Peak,6068.39,-450018.7358,-378242.7487,-71775.98710000003
2025-01-11,Germany,Spec,OffPeak,6707.64,-191414.1214,-228797.60040000002,37383.47900000002
2025-01-11,Germany,Spec,Peak,11212.25,-472953.4068,-698859.5425,225906.13569999998
